code,name,utf8
U+1FA92,razor,0xF0 0x9F 0xAA 0x92,
U+1FAA4,mouse trap,0xF0 0x9F 0xAA 0xA4,
U+1F6C1,bathtub,0xF0 0x9F 0x9B 0x81,
U+1F6BF,shower,0xF0 0x9F 0x9A 0xBF,
U+1FAA0,plunger,0xF0 0x9F 0xAA 0xA0,
U+1F6BD,toilet,0xF0 0x9F 0x9A 0xBD,
U+1FA91,chair,0xF0 0x9F 0xAA 0x91,
U+1F6CB,couch and lamp,0xF0 0x9F 0x9B 0x8B,
U+1F6CF,bed,0xF0 0x9F 0x9B 0x8F,
U+1FA9F,window,0xF0 0x9F 0xAA 0x9F,
U+1FA9E,mirror,0xF0 0x9F 0xAA 0x9E,
U+1F6D7,elevator,0xF0 0x9F 0x9B 0x97,
U+1F6AA,door,0xF0 0x9F 0x9A 0xAA,
U+1FA7A,stethoscope,0xF0 0x9F 0xA9 0xBA,
U+1FA79,adhesive bandage,0xF0 0x9F 0xA9 0xB9,
U+1F48A,pill,0xF0 0x9F 0x92 0x8A,
U+1FA78,drop of blood,0xF0 0x9F 0xA9 0xB8,
U+1F489,syringe,0xF0 0x9F 0x92 0x89,
U+1F4E1,satellite antenna,0xF0 0x9F 0x93 0xA1,
U+1F52D,telescope,0xF0 0x9F 0x94 0xAD,
U+1F52C,microscope,0xF0 0x9F 0x94 0xAC,
U+1F9EC,dna,0xF0 0x9F 0xA7 0xAC,
U+1F9EB,petri dish,0xF0 0x9F 0xA7 0xAB,
U+1F9EA,test tube,0xF0 0x9F 0xA7 0xAA,
U+2697,alembic,0xE2 0x9A 0x97,
U+1FA9C,ladder,0xF0 0x9F 0xAA 0x9C,
U+1F9F2,magnet,0xF0 0x9F 0xA7 0xB2,
U+1F9F0,toolbox,0xF0 0x9F 0xA7 0xB0,
U+1FA9D,hook,0xF0 0x9F 0xAA 0x9D,
U+26D3,chains,0xE2 0x9B 0x93,
U+1F517,link,0xF0 0x9F 0x94 0x97,
U+1F9AF,white cane,0xF0 0x9F 0xA6 0xAF,
